#dt N_calls L2_error
0.001 90000 5.84282e-14
0.002 45000 9.26712e-13
0.004 22500 6.75241e-12
0.008 11250 5.41673e-11
0.016 5625 4.33439e-10
0.032 2814 3.47107e-09
0.064 1407 2.78383e-08
0.128 705 2.23882e-07
0.256 354 1.81158e-06
0.512 177 1.47463e-05
