#dt N_calls L2_error
0.001 60000 9.19061e-10
0.002 30000 3.67645e-09
0.004 15000 1.47102e-08
0.008 7500 5.88744e-08
0.016 3750 2.35769e-07
0.032 1876 9.44823e-07
0.064 938 3.79561e-06
0.128 470 1.53145e-05
0.256 236 6.24468e-05
0.512 118 0.000258792
