#dt N_calls L2_error
0.001 120000 1.15865e-13
0.002 60000 4.70387e-14
0.004 30000 3.03153e-14
0.008 15000 1.20902e-14
0.016 7500 1.31593e-13
0.032 3752 2.29597e-12
0.064 1876 3.68499e-11
0.128 940 5.93942e-10
0.256 472 9.65643e-09
0.512 236 1.57894e-07
