#dt N_calls L2_error
0.001 30000 1.53489e-05
0.002 15000 3.06951e-05
0.004 7500 6.13794e-05
0.008 3750 0.000122715
0.016 1875 0.000245256
0.032 938 0.000489632
0.064 469 0.000976316
0.128 235 0.00194006
0.256 118 0.00383578
0.512 59 0.00747782
