#dt N_calls L2_error
0.001 30000 8.66423e-06
0.002 15000 1.73275e-05
0.004 7500 3.4651e-05
0.008 3750 6.92863e-05
0.016 1875 0.00013851
0.032 938 0.000276766
0.064 469 0.000552517
0.128 235 0.00110094
0.256 118 0.00218526
0.512 59 0.00430162
