#dt N_calls L2_error
0.001 60000 1.36646e-05
0.002 30000 2.73238e-05
0.004 15000 5.46261e-05
0.008 7500 0.000109166
0.016 3750 0.000217989
0.032 1876 0.000434607
0.064 938 0.000863774
0.128 470 0.00170609
0.256 236 0.00332873
0.512 118 0.00634135
