#dt N_calls L2_error
0.001 30000 1.72057e-05
0.002 15000 3.44154e-05
0.004 7500 6.8847e-05
0.008 3750 0.000137759
0.016 1875 0.000275775
0.032 938 0.00055259
0.064 469 0.00110924
0.128 235 0.0022344
0.256 118 0.00452958
0.512 59 0.00927961
